2023-11-21 13:29:38,251 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:31:11,350 | INFO | hellow world
2023-11-21 13:31:11,350 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:31:11,350 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:31:12,161 | INFO | creating a stage in snowflake
2023-11-21 13:31:12,161 | INFO | query exicution start
2023-11-21 13:31:12,166 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:31:12,333 | INFO | query execution done
2023-11-21 13:31:12,349 | INFO | Number of results in first chunk: 1
2023-11-21 13:31:12,349 | INFO | making keys lower
2023-11-21 13:31:12,349 | INFO | putting data into stage
2023-11-21 13:31:12,349 | INFO | query exicution start
2023-11-21 13:31:12,349 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:31:13,468 | INFO | query execution done
2023-11-21 13:31:14,496 | INFO | making keys lower
2023-11-21 13:31:14,497 | INFO | creating a table in snowflake
2023-11-21 13:31:14,497 | INFO | query exicution start
2023-11-21 13:31:14,497 | INFO | query: [CREATE OR REPLACE MOCK_01.mock_01_schema.TABLE SALES_TSV (ORDER_NO NUMBER, order...]
2023-11-21 13:31:14,603 | INFO | query execution done
2023-11-21 13:31:14,672 | INFO | closed
2023-11-21 13:31:14,672 | INFO | No async queries seem to be running, deleting session
2023-11-21 13:32:08,089 | INFO | hellow world
2023-11-21 13:32:08,089 | INFO | Snowflake Connector for Python Version: 3.4.1, Python Version: 3.11.2, Platform: Windows-10-10.0.22621-SP0
2023-11-21 13:32:08,089 | INFO | This connection is in OCSP Fail Open Mode. TLS Certificates would be checked for validity and revocation status. Any other Certificate Revocation related exceptions or OCSP Responder failures would be disregarded in favor of connectivity.
2023-11-21 13:32:08,869 | INFO | creating a stage in snowflake
2023-11-21 13:32:08,869 | INFO | query exicution start
2023-11-21 13:32:08,869 | INFO | query: [CREATE OR REPLACE STAGE MOCK_01.mock_01_schema.MOCK_01_STAGE FILE_FORMAT = (type...]
2023-11-21 13:32:09,034 | INFO | query execution done
2023-11-21 13:32:09,034 | INFO | Number of results in first chunk: 1
2023-11-21 13:32:09,034 | INFO | making keys lower
2023-11-21 13:32:09,034 | INFO | putting data into stage
2023-11-21 13:32:09,034 | INFO | query exicution start
2023-11-21 13:32:09,034 | INFO | query: [put file://../files/SalesData.tsv @MOCK_01.mock_01_schema.MOCK_01_STAGE]
2023-11-21 13:32:10,322 | INFO | query execution done
2023-11-21 13:32:11,196 | INFO | making keys lower
2023-11-21 13:32:11,196 | INFO | creating a table in snowflake
2023-11-21 13:32:11,196 | INFO | query exicution start
2023-11-21 13:32:11,196 | INFO | query: [CREATE OR REPLACE table MOCK_01.mock_01_schema.TABLE SALES_TSV(ORDER_NO NUMBER, ...]
